코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
126163	   파생상품평가손실	3064035000	12614341000	8289625000	18665365000		327629000	7704929000	7704929000	175000000	5680000000	3390000000	130000000	
126170	   자산평가손실				382466000	477717000	431378000	446853000		1161023000	561315000	385124000	385124000	1802318000
126173	      투자자산평가손실													
126176	      단기금융상품평가손실													
126142	      단기매매금융자산평가손실													
126178	      당기손익인식금융자산평가손실				382466000	477717000	431378000	446853000		1161023000	561315000	385124000	385124000	1802318000
126143	      매도가능금융자산평가손실													
126172	      기타장단기투자자산평가손실													
126177	      단기투자일임계약자산평가손실													
126171	      재고자산평가손실													
126175	      재고자산감모손실													
126415	      유형자산평가손실													
126124	      무형자산평가손실													
126125	      투자부동산평가손실													
126128	      기타자산평가손실													
126180	   매출할인													
126181	   수수료비용													
126200	   원가차손													
126210	   무형자산상각비													
126212	      영업권상각													
126214	      부의영업권환입(-)													
126230	      라이선스와프랜차이즈상각													
126211	      산업재산권상각													
126231	      저작권상각													
126232	      임차권리금상각													
126215	      광업권상각													
126216	      어업권상각													
126217	      차지권상각													
126218	      전용시설이용권상각													
126219	      창업비상각													
126228	      개발비상각													
126229	      소프트웨어상각													
126213	      기타무형자산상각													
126240	   기타대손상각비													
126245	   감가상각비													
126149	   자전거래손실													
126151	   공정가액조정손실													
126280	   사채상환손실													
126350	   전환사채전환손실													
126281	   부채상환손실		290667000	290667000										
126310	   지분법손실													
126126	   자산손상차손				13635337000				3027773000				36594000	
126400	      임대주택자산손상차손													
126275	      투자자산손상차손													
126147	      매도가능금융자산손상차손													
126148	      만기보유금융자산손상차손													
126153	      기타장단기투자자산손상차손													
126155	      지분법주식손상차손													
126156	      종속기업투자손상차손													
126157	      관계기업투자손상차손													
126158	      조인트벤처투자손상차손													
126410	      유형자산손상차손				9531594000				2930620000				28769000	
126420	      무형자산손상차손				4103743000				97153000				7825000	
126430	      기타자산손상차손													
126330	   법인세추납액													
126137	   중간기간오류손실													
126138	   중간기간영업외비용조정													
126134	   전기오류수정손실													
126135	   복구충당부채전입액													
126136	   복구공사손실													
126166	   재해손실													
126167	   특별상각													
126168	   해외사업환산손실상각													
126250	   기타영업외비용	96662000	300006000	352076000	1502740000	105342000	523914000	699573000	374362000	30067000	95865000	877319000	923104000	189279000
128000	법인세비용차감전계속영업이익(손실)	10300150000	54633451000	106273925000	91500023000	40970209000	63413450000	84282510000	100813106000	49598133000	85446597000	124992648000	135298910000	24850763000
128100	계속영업손익법인세비용(부의법인세비용)	850010000	7977001000	15904353000	11315982000	3989802000	8864889000	10071672000	-9880289000	6494490000	9990878000	16106219000	-9482547000	6183300000
128001	[법인세부담액]				7920099000				18466571000				13286251000	
128110	종속기업의매수일전순이익(-)													
128160	계속영업이익(손실)	9450140000	46656450000	90369573000	80184041000	36980407000	54548561000	74210837000	110693395000	43103643000	75455719000	108886429000	144781457000	18667463000
128170	중단영업이익(손실)													
128171	   [중단영업매출액]													
128172	   [중단영업매출원가]													
128173	   [중단영업매출총이익(손실)]													
128183	   [중단영업기타영업수익]													
128184	   [중단영업기타영업비용]													
128174	   [중단영업판매비와관리비]													
128175	   [중단영업감가상각비]													
128176	   [중단영업영업이익(손실)]													
128177	   [중단영업영업외수익]													
128178	   [중단영업영업외비용]													
128179	   [중단영업법인세비용차감전순이익(손실)]													
128180	   [사업중단직접비용]													
128181	   [중단영업손상차손등]													
128182	   [중단영업손익법인세효과]													
128200	총당기순이익	9450140000	46656450000	90369573000	80184041000	36980407000	54548561000	74210837000	110693395000	43103643000	75455719000	108886429000	144781457000	18667463000
129061	   당기순이익지배기업지분	6989845000	36399693000	71661672000	62558500000	25938516000	40487614000	50308464000	75553489000	31133876000	52012678000	75046245000	94356432000	16467679000
129062	   당기순이익비지배지분(소수주주지분)	2460295000	10256757000	18707901000	17625541000	11041891000	14060946000	23902373000	35139907000	11969767000	23443040000	33840183000	50425024000	2199785000
129007	기본주당계속영업손익	81	423	831	725	300	469	583	875	361	602	867	1087	188
129009	기본주당순손익	81	423	831	725	300	469	583	875	361	602	867	1087	188
129008	기본주당중단영업손익													
129017	희석주당계속영업손익			816		262	429		850	342	580	842	1062	187
129019	희석주당순손익			816		262	429		850	342	580	842	1062	187
129005	희석주당중단영업손익													
129050	기타포괄손익	-3906931000	-8704084000	-9204582000	-32690144000	2356290000	2725388000	964859000	187502157000	237132000	-1416733000	116405000	-11133470000	2888803000
129051	[기타포괄손익관련법인세효과]													
129052	   부동산평가이익				-656165000				194863043000				-5536898000	
129053	   투자자산평가손익	-116354000	-205318000	-285752000	-253347000	10244000	-74887000	34264000	-1060000	24374000	82305000	84424000	96564000	-96839000
129054	   위험회피평가손익	-4333797000	-8942994000	-9768841000	-14589945000	1664113000	1721204000	780725000	1368562000	186512000	226977000	1079091000	791766000	2004323000
129055	   외화환산평가손익	515815000	502903000	891200000	114984000	761410000	1284761000	405804000	2545355000	23656000	-1681411000	-995786000	-488736000	1166410000
129056	   보험수리적손익	27404000	-58674000	-41189000	-17305671000	-79477000	-205690000	-255935000	-11273744000	2590000	-44603000	-51323000	-5996166000	-185091000
129065	   관계기업의기타포괄손익에대한지분													
129057	   기타의기타포괄손익													
129058	   법인세효과													
129060	포괄손익	5543208000	37952366000	81164991000	47493896000	39336697000	57273948000	75175696000	298195552000	43340775000	74038986000	109002834000	133647987000	21556267000
129063	   포괄손익지배기업지분	4837019000	31531380000	66310899000	35287680000	28303922000	43245073000	51283631000	238675586000	31364146000	50601219000	75169731000	84308476000	19372523000
129064	   포괄손익비지배지분(소수주주지분)	706189000	6420987000	14854092000	12206216000	11032776000	14028876000	23892065000	59519966000	11976629000	23437767000	33833103000	49339511000	2183744000
