코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
126218	      전용시설이용권상각													
126219	      창업비상각													
126228	      개발비상각													
126229	      소프트웨어상각													
126213	      기타무형자산상각													
126240	   기타대손상각비													
126245	   감가상각비													
126149	   자전거래손실													
126151	   공정가액조정손실													
126280	   사채상환손실													
126350	   전환사채전환손실													
126281	   부채상환손실													
126310	   지분법손실													
126126	   자산손상차손													
126400	      임대주택자산손상차손													
126275	      투자자산손상차손													
126147	      매도가능금융자산손상차손													
126148	      만기보유금융자산손상차손													
126153	      기타장단기투자자산손상차손													
126155	      지분법주식손상차손													
126156	      종속기업투자손상차손													
126157	      관계기업투자손상차손													
126158	      조인트벤처투자손상차손													
126410	      유형자산손상차손													
126420	      무형자산손상차손													
126430	      기타자산손상차손													
126330	   법인세추납액													
126137	   중간기간오류손실													
126138	   중간기간영업외비용조정													
126134	   전기오류수정손실													
126135	   복구충당부채전입액													
126136	   복구공사손실													
126166	   재해손실													
126167	   특별상각													
126168	   해외사업환산손실상각													
126250	   기타영업외비용	53000	54000	57000	1056000	99000	900000	1240000	796527000	3721000	3722000	7580000	8231000	
128000	법인세비용차감전계속영업이익(손실)	27902719000	39259928000	54434336000	54835286000	13747823000	28583339000	36338030000	43695650000	21223727000	43417675000	62241755000	63132498000	19336183000
128100	계속영업손익법인세비용(부의법인세비용)	6303611000	9077348000	12293435000	10986891000	3546656000	7056317000	8767181000	10635317000	5118716000	10354331000	14509477000	16060136000	4243753000
128001	[법인세부담액]				621101000				1726986000				2693707000	
128110	종속기업의매수일전순이익(-)													
128160	계속영업이익(손실)	21599107000	30182580000	42140900000	43848395000	10201166000	21527021000	27570849000	33060332000	16105010000	33063344000	47732278000	47072362000	15092430000
128170	중단영업이익(손실)													
128171	   [중단영업매출액]													
128172	   [중단영업매출원가]													
128173	   [중단영업매출총이익(손실)]													
128183	   [중단영업기타영업수익]													
128184	   [중단영업기타영업비용]													
128174	   [중단영업판매비와관리비]													
128175	   [중단영업감가상각비]													
128176	   [중단영업영업이익(손실)]													
128177	   [중단영업영업외수익]													
128178	   [중단영업영업외비용]													
128179	   [중단영업법인세비용차감전순이익(손실)]													
128180	   [사업중단직접비용]													
128181	   [중단영업손상차손등]													
128182	   [중단영업손익법인세효과]													
128200	총당기순이익	21599107000	30182580000	42140900000	43848395000	10201166000	21527021000	27570849000	33060332000	16105010000	33063344000	47732278000	47072362000	15092430000
129061	   당기순이익지배기업지분	21599107000	30182580000	42140900000	43848395000	10201166000	21527021000	27570849000	33060332000	16105010000	33063344000	47732278000	47072362000	15092430000
129062	   당기순이익비지배지분(소수주주지분)													
129007	기본주당계속영업손익	349	488	681	709	165	348	446	534	260	535	772	761	244
129009	기본주당순손익	349	488	681	709	165	348	446	534	260	535	772	761	244
129008	기본주당중단영업손익													
129017	희석주당계속영업손익													
129019	희석주당순손익													
129005	희석주당중단영업손익													
129050	기타포괄손익		117205000	239471000	-14493392000	-46469000	82417000	2469000	-5778588000	110619000	121027000	195278000	-1722807000	-247914000
129051	[기타포괄손익관련법인세효과]													
129052	   부동산평가이익													
129053	   투자자산평가손익													
129054	   위험회피평가손익													
129055	   외화환산평가손익													
129056	   보험수리적손익		117205000	239471000	-14493392000	-46469000	82417000	2469000	-5778588000	110619000	121027000	195278000	-1722807000	-247914000
129065	   관계기업의기타포괄손익에대한지분													
129057	   기타의기타포괄손익													
129058	   법인세효과													
129060	포괄손익	21599107000	30299785000	42380372000	29355004000	10154698000	21609438000	27573318000	27281744000	16215630000	33184371000	47927556000	45349555000	14844515000
129063	   포괄손익지배기업지분	21599107000	30299785000	42380372000	29355004000	10154698000	21609438000	27573318000	27281744000	16215630000	33184371000	47927556000	45349555000	14844515000
129064	   포괄손익비지배지분(소수주주지분)													
